Pathway,Absolute Abundance,Relative Abundance
ILEUSYN-PWY,658254.0877062363,0.008119645859465192
KDO-NAGLIPASYN-PWY,23598.388138070117,0.0002910890461812748
KETOGLUCONMET-PWY,9223.684601475758,0.00011377529419431199
LACTOSECAT-PWY,3772.034080560422,4.652850848326582e-05
LEU-DEG2-PWY,204216.0451348088,0.0025190302594143657
LIPASYN-PWY,5414.782537617439,6.679201456184642e-05
LPSSYN-PWY,1754.9864473639655,2.1647975617457523e-05
MET-SAM-PWY,245320.10944144084,0.003026053993543429
METH-ACETATE-PWY,103030.09125540651,0.0012708889613999989
METHANOGENESIS-PWY,39105.13216947933,0.00048236665815504015
METHGLYUT-PWY,3299.025331554162,4.0693886865126345e-05
METHYLGALLATE-DEGRADATION-PWY,21314.19981683316,0.00026291329977702697
NAD-BIOSYNTHESIS-II,67150.97178709658,0.0008283155702536127
NADSYN-PWY,42837.67559380931,0.0005284080444930164
NAGLIPASYN-PWY,325554.43296871276,0.004015754331121799
NONMEVIPP-PWY,430930.641981279,0.005315582946203433
NONOXIPENT-PWY,630153.7613464303,0.007773024846640059
OANTIGEN-PWY,430328.1479365355,0.0053081511073935885
ORNARGDEG-PWY,4944.954728060962,6.0996630226566263e-05
ORNDEG-PWY,7417.197574812904,9.149205254011565e-05
P101-PWY,33758.50397771181,0.0004164153359070283
P105-PWY,373970.0013374081,0.004612966375194923
P108-PWY,381869.5985075858,0.00471040888660839
P122-PWY,94557.92763828312,0.0011663837718094597
P124-PWY,118732.02281102393,0.001464574235707133
P125-PWY,25851.337321826475,0.00031887945394800423
P161-PWY,203255.12532914086,0.00250717719436382
P162-PWY,32595.27995277383,0.0004020668232063626
P163-PWY,26676.649350387117,0.00032905978023936154
P164-PWY,193257.67911583514,0.002383857454665795
P184-PWY,18707.79979980747,0.0002307630321195974
P221-PWY,86884.81450283053,0.0010717349690704025
P23-PWY,409113.28327017475,0.005046463119024872
P241-PWY,36804.53933541366,0.00045398856004929313
P261-PWY,8014.310917867879,9.88575197269012e-05
P281-PWY,37719.46993273543,0.00046527434250774873
P341-PWY,27339.501522714796,0.00033723614404324254
P381-PWY,34573.745278125556,0.00042647143851694275
P4-PWY,307101.0279979571,0.0037881292907882874
P42-PWY,548975.56780889,0.006771681755353232
P441-PWY,70224.5959124328,0.0008662291052683411
P461-PWY,32274.149177909232,0.0003981056352469194
P562-PWY,27704.50239561325,0.0003417384751060976
P621-PWY,1869.4424875801142,2.3059805077218626e-05
PANTO-PWY,432881.5781126892,0.005339647985490444
PANTOSYN-PWY,436574.9055210752,0.005385205637405147
PENTOSE-P-PWY,322111.427314801,0.003973284429112811
PEPTIDOGLYCANSYN-PWY,494248.95177891,0.006096622155193671
PHOSLIPSYN-PWY,578884.2918200899,0.007140609577625722
POLYAMINSYN3-PWY,87987.55151202879,0.0010853373669256385
POLYAMSYN-PWY,119542.39156528228,0.0014745702348555503
POLYISOPRENSYN-PWY,458642.4771328479,0.00565741187176422
PPGPPMET-PWY,128381.25954717895,0.0015835987682926195
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,67837.19208845438,0.0008367801828290037
PRPP-PWY,295198.4148137511,0.0036413090800779756
PWY-1269,314987.94119259715,0.0038854153437894497
PWY-1361,2828.1935623274467,3.488611856272503e-05
PWY-1422,141.03358045181068,1.7396667167711483e-06
PWY-1501,506.19701553337643,6.244003004328442e-06
PWY-1541,9066.866561764207,0.00011184092421376189
PWY-1622,20454.835689034506,0.0002523129366157924
PWY-181,100409.07146241618,0.0012385583569917693
PWY-1861,107602.59173826901,0.0013272913222914452
PWY-1882,4092.8873396708022,5.048627325144173e-05
PWY-2221,3.373097655683684,4.1607578175445473e-08
PWY-2941,61297.87289912178,0.0007561168691161967
PWY-2942,561643.8081206022,0.006927946071693654
PWY-3001,569528.0346409129,0.007025198984233555
PWY-3081,1388.2600633566517,1.712436016094326e-05
PWY-3661,19215.651005482003,0.00023702743976459763
PWY-3781,1027722.5029030234,0.0126770846109805
PWY-3801,6374.603457614839,7.86315247212774e-05
PWY-3941,446.13637182025195,5.5031475107584245e-06
PWY-4361,4626.010920466826,5.706241877980117e-05
PWY-4722,2787.236395446982,3.438090682657733e-05
PWY-4984,139478.05467841355,0.0017204791133196191
PWY-5005,30379.192751172697,0.0003747311125639933
PWY-5022,113171.57086254485,0.0013959853708851158
PWY-5028,76315.05303563073,0.0009413556496927698
PWY-5088,3564.4818973421293,4.396832654658569e-05
PWY-5097,535019.9024190557,0.006599536890908091
PWY-5100,353245.4323094154,0.004357326244369881
PWY-5101,701889.8592167799,0.00865789851613274
PWY-5103,572143.1650194825,0.007057456941984044
PWY-5104,554540.3749737325,0.006840324342309563
PWY-5121,417639.37965654314,0.005151633576016963
PWY-5154,268174.0728232629,0.0033079604679752206
PWY-5177,30895.659025228917,0.0003811017881465891
PWY-5178,15244.277231378244,0.00018804005142394073
PWY-5179,35.75466702292402,4.4103825478832827e-07
PWY-5180,54724.01453972251,0.0006750275104543968
PWY-5181,17386.776141087685,0.00021446804135371163
PWY-5182,54724.01453972251,0.0006750275104543968
PWY-5183,7643.956292564909,9.428914946374976e-05
PWY-5184,123.63513451155697,1.5250547269965323e-06
PWY-5188,430279.6650564616,0.005307553065051279
PWY-5189,409973.8026427713,0.0050570777322740505
PWY-5198,34951.47003776029,0.0004311307203016909
PWY-5265,5055.154503932154,6.235595813744106e-05
PWY-5266,8764.360599202333,0.00010810947562536328
PWY-5273,8764.360599202333,0.00010810947562536328
PWY-5304,66197.43000000001,0.0008165535139777372
PWY-5345,337195.1967313942,0.0041593445967227785
PWY-5347,272613.41789811186,0.003362720340384583
PWY-5384,101147.53495802863,0.0012476673958515352
PWY-5392,2925.9564206649784,3.6092035552433237e-05
PWY-5415,44747.81015240936,0.0005519697913160454
PWY-5417,39513.66835048625,0.0004874060026460309
PWY-5419,31074.79379804806,0.00038331143779946953
PWY-5420,35075.13073996872,0.0004326560904094012
PWY-5427,6.5517970401691334,8.081722955134427e-08
PWY-5430,21899.45374302152,0.00027013247958504027
PWY-5431,39513.66835048625,0.0004874060026460309
PWY-5484,465023.24761134054,0.005736119467453336
PWY-5499,19.00747899159664,2.344596121397198e-07
PWY-5505,282050.4330079233,0.003479127092872973
PWY-5507,34641.70759208969,0.00042730976209363555
PWY-5509,275672.96211383527,0.003400460197966957
PWY-5529,4792.593581746804,5.91172365791618e-05
PWY-5531,17055.047213189137,0.00021037612386139165
PWY-5532,28371.30263541272,0.0003499635388121879
PWY-5647,9378.000091932972,0.00011567879491925005
PWY-5651,28833.043944412922,0.00035565917515959286
PWY-5654,12383.877456958115,0.00015275666523834584
PWY-5655,13913.685491764942,0.00017162703719285965
PWY-5656,33.81090324700054,4.1706168739631696e-07
PWY-5659,511376.82107792655,0.006307896548520773
PWY-5667,615602.836692834,0.007593537385306298
PWY-5676,125210.35435705369,0.0015444852592713927
PWY-5677,5006.417621516221,6.175478264472102e-05
PWY-5686,584513.8189095545,0.00721005049288384
PWY-5695,485413.9678341674,0.005987641531836896
PWY-5705,29836.30740621542,0.0003680345544632954
PWY-5741,34941.95566558489,0.0004310133593401986
PWY-5743,472.0523259366585,5.8228240208863495e-06
PWY-5744,442.80562031032866,5.46206227754598e-06
PWY-5747,93141.70280279193,0.0011489144627138818
PWY-5789,19.31478548922551,2.3825027592390367e-07
PWY-5823,115.0423794374564,1.4190620268190957e-06
PWY-5837,53557.763679185344,0.0006606416613609927
PWY-5838,110399.24262615232,0.0013617883580505387
PWY-5840,108452.47215563103,0.0013377747027075403
PWY-5845,76717.29153707689,0.000946317311524853
PWY-5850,75870.53240700261,0.0009358724325747959
PWY-5855,249006.4022698341,0.0030715248730409477
PWY-5856,249006.4022698341,0.0030715248730409477
PWY-5857,249006.4022698341,0.0030715248730409477
PWY-5860,56699.0852262624,0.0006993902524739672
PWY-5861,84117.78177011892,0.0010376032769308875
PWY-5862,57308.640773724444,0.0007069091957961589
PWY-5863,58781.96232606068,0.0007250827999795734
PWY-5896,75870.53240700261,0.0009358724325747959
PWY-5897,103309.27052333472,0.0012743326723153093
PWY-5898,103309.27052333472,0.0012743326723153093
PWY-5899,103309.27052333472,0.0012743326723153093
PWY-5910,39871.25102749797,0.0004918168293420444
PWY-5913,381309.5526091483,0.004703500650950934
PWY-5918,308867.9224416178,0.003809924153017817
PWY-5920,170284.74461062992,0.002100483456663067
PWY-5941,12541.806805862285,0.00015470474335569747
PWY-5971,196164.17245398695,0.0024197094106801105
PWY-5973,633522.7377664337,0.007814581588861955
PWY-5989,312443.7914723017,0.0038540329412672866
PWY-6071,10444.839520247151,0.0001288383916594852
PWY-6107,3260.6085788284586,4.0220011452836364e-05
PWY-6113,654.3303884844117,8.071246542643186e-06
PWY-6121,579862.4528196852,0.007152675314942949
PWY-6122,571265.4463819396,0.007046630173667367
PWY-6123,509287.13528513606,0.006282120014942168
PWY-6125,509074.3359753618,0.006279495109048265
PWY-6126,578437.6511948513,0.007135100210086471
PWY-6141,5719.709893256806,7.055333133434444e-05
PWY-6142,13.41701739349821,1.6550057456552894e-07
PWY-6143,465.8696882432584,5.746560417689109e-06
PWY-6147,389253.3210779357,0.004801488020814294
PWY-6148,21061.411677939162,0.00025979512671342334
PWY-6151,192166.13516287925,0.0023703931245483375
PWY-6163,507885.41394070396,0.006264829608208649
PWY-6165,23229.367832366417,0.00028653713491596594
PWY-6167,14536.956641516868,0.00017931516417136743
PWY-6174,33798.72555058761,0.00041691147399984323
PWY-6182,36952.9934144811,0.00045581975953735244
PWY-6185,13389.075778331637,0.000165155911274968
PWY-621,134783.14045593492,0.0016625667637587829
PWY-6210,6930.22729819269,8.548521374626902e-05
PWY-622,3959.7022076920143,4.884341812055722e-05
PWY-6263,133472.84088532173,0.0016464040559505233
PWY-6269,279745.17050575145,0.0034506913938316427
PWY-6277,571265.4463819396,0.007046630173667367
PWY-6282,306569.6284327226,0.0037815744112058253
PWY-6284,222.47360200027708,2.74423948906492e-06
PWY-6285,418.72812898952856,5.16506343415028e-06
PWY-6317,197313.7357109869,0.0024338894161129955
PWY-6338,8932.898691329565,0.00011018841390688862
PWY-6339,13047.47380361714,0.00016094220852495405
PWY-6349,32215.845351577955,0.0003973864503137709
PWY-6350,33227.60110900842,0.00040986658313791615
PWY-6353,272102.6429258969,0.003356419867716475
PWY-6383,40794.40187742443,0.0005032040096364908
PWY-6385,486131.03824478027,0.005996486684338366
PWY-6386,485266.0691517651,0.005985817183235624
PWY-6387,497265.0676054405,0.006133826318206002
PWY-6396,21147.086698478393,0.0002608519387238205
PWY-6397,6848.918201805112,8.448225595208228e-05
PWY-6404,17401.509453935178,0.000214649778596051
PWY-6467,319851.24,0.003945404738101412
PWY-6470,13100.180691640897,0.00016159235452951388
PWY-6471,55919.235761479234,0.0006897707125485902
PWY-6478,54504.63735030657,0.0006723214655988164
PWY-6486,2.6575711638911854,3.278147010422085e-08
PWY-6505,11716.45760817064,0.00014452395857849663
PWY-6507,74549.58494439529,0.0009195783816974131
PWY-6519,270525.3682438586,0.0033369639887778743
PWY-6545,288697.0194807292,0.003561113561839012
PWY-6562,20776.140379543533,0.00025627626984629206
PWY-6565,66.16217157707679,8.161185969555015e-07
PWY-6572,4110.301415057469,5.070107803237742e-05
PWY-6581,536.5088598592026,6.617903365708023e-06
PWY-6588,102397.70729198065,0.0012630884267339467
PWY-6590,129512.52890244022,0.0015975531161773321
PWY-6608,280920.1203444357,0.003465184545900011
PWY-6609,377664.802046589,0.004658542200457763
PWY-6612,364173.9235531691,0.004492130540058732
PWY-6628,324012.3358143556,0.003996732371352584
PWY-6629,4645.190691754624,5.729900363879555e-05
PWY-6630,318298.8880470543,0.003926256284119014
PWY-6641,9116.189377352988,0.00011244932726488177
PWY-6654,36562.59160934856,0.00045100410482320076
PWY-6690,8785.587548653868,0.0001083713126810568
PWY-6700,377971.3727174883,0.004662323787727924
PWY-6703,363507.4421090254,0.004483909408736616
PWY-6708,249006.4022698341,0.0030715248730409477
PWY-6713,279.1620235266783,3.443498203477762e-06
PWY-6728,23928.40491243855,0.000295159844047327
PWY-6731,1851.680136883208,2.2840704277111075e-05
PWY-6737,296369.3747479061,0.0036557530161788394
PWY-6749,18325.094315035843,0.00022604231247219073
PWY-6760,0.6249428531783702,7.708747647726977e-09
PWY-6830,2881.331413552283,3.554158055185159e-05
PWY-6876,12083.990987710762,0.0001490575284250541
PWY-6891,76578.08855527607,0.0009446002254696144
PWY-6892,215613.59122429558,0.0026596204048338124
PWY-6895,182156.44531312468,0.002246922358075313
PWY-6897,423692.6910343007,0.005226301923061696
PWY-6901,196994.47027824377,0.002429951237380105
PWY-6906,918.2851736432774,1.1327161573675516e-05
PWY-6944,9903.220363255026,0.00012215745214446807
PWY-6948,4304.733323590483,5.309941975262292e-05
PWY-6956,10.706374990073646,1.3206446413566201e-07
PWY-6957,1145.7888324904193,1.4133447438163396e-05
PWY-6969,526686.728480649,0.006496746156252777
PWY-6992,6672.622646811963,8.2307628403425e-05
PWY-7002,7.398163091264558,9.125725982341721e-08
PWY-7003,51279.619078524134,0.0006325404650000566
PWY-7007,48034.01784054909,0.0005925055709590188
PWY-7013,39661.40986121752,0.0004892284125152358
PWY-7024,549.779922776617,6.781603573698489e-06
PWY-7031,11.321245943939886,1.3964897365547752e-07
PWY-7046,523.0141971833926,6.451445026949602e-06
PWY-7084,1887.1380948772285,2.3278082589207062e-05
PWY-7090,19917.430768384038,0.00024568398022902535
PWY-7094,384723.4851169099,0.004745611932094259
PWY-7097,8932.898691329567,0.00011018841390688864
PWY-7098,9697.912734892765,0.00011962495707048045
PWY-7111,704044.2769140818,0.008684473525786553
PWY-7159,17055.047213189137,0.00021037612386139165
PWY-7184,417736.3431666078,0.005152829632946528
PWY-7187,333789.48096122115,0.004117334670057284
PWY-7196,387216.70784266666,0.004776366143818881
PWY-7197,448808.9176260216,0.00553611369492853
PWY-7198,36354.99695685018,0.0004484433990226804
PWY-7199,240772.40771424107,0.0029699575283805425
PWY-7200,295889.9064755185,0.0036498387155381807
PWY-7208,618420.4182514454,0.007628292603486264
PWY-7209,4.982441415208049,6.14590331645253e-08
PWY-7210,50314.94834843957,0.0006206411318313516
PWY-7211,410347.55982954125,0.005061688073555146
PWY-7219,621054.6200153092,0.007660785809141066
PWY-722,3465.436490823229,4.274658916589944e-05
PWY-7220,535681.9411302002,0.006607703220567329
PWY-7221,544283.442514288,0.0067138038075638526
PWY-7222,535681.9411302002,0.006607703220567329
PWY-7228,525124.5691960412,0.0064774767276172636
PWY-7229,604777.6957915812,0.007460007928917703
PWY-7234,356705.7199559222,0.004400009321902178
PWY-7237,51074.493846153855,0.000630010219803265
PWY-7242,114449.39273236066,0.0014117474622236423
PWY-7254,172287.87031246466,0.002125192260777853
PWY-7255,15588.229562800127,0.00019228274611561338
PWY-7286,35076.36437461605,0.00043267130744586687
PWY-7295,4175.929479507457,5.151060835163898e-05
PWY-7315,26634.57739981819,0.00032854081750807496
PWY-7316,321.0928471460228,3.960720116327799e-06
PWY-7323,399210.3535912371,0.004924309252507531
PWY-7328,160396.85645948863,0.0019785151292577093
PWY-7332,97565.57536928357,0.0012034834798125586
PWY-7347,9413.402934100843,0.00011611549337079075
PWY-7354,1.450909090909091,1.789714369038288e-08
PWY-7371,78993.76309589657,0.0009743978707070538
PWY-7373,5252.224349095833,6.478683913338684e-05
PWY-7374,66222.02058695123,0.000816856841919408
PWY-7376,79618.46805820221,0.000982103683941344
PWY-7377,78443.40806980783,0.0009676091731626314
PWY-7385,47.04922192568145,5.80357991138532e-07
PWY-7391,8466.449960754813,0.00010443471093018291
PWY-7392,291576.32934126037,0.003596630206283479
PWY-7398,32.09418986473433,3.9588581478642746e-07
PWY-7400,432869.8934191351,0.005339503853345415
PWY-7401,37.8554617705215,4.6695181870307087e-07
PWY-7431,47898.39863987791,0.0005908326912887521
PWY-7446,617.729453007709,7.619769461457798e-06
PWY-7456,22484.99769356653,0.0002773552368794841
PWY-7527,7248.777817552819,8.941457393386159e-05
PWY-7528,25.27803082190258,3.1180764712560744e-07
PWY-7539,388621.82654782786,0.004793698457418597
PWY-7560,430930.641981279,0.005315582946203433
PWY-7616,9848.299384191447,0.00012147999505216911
PWY-7644,8.342870804220308,1.0291034669848003e-07
PWY-7663,644721.2668856571,0.007952716835255717
PWY-7664,325477.66140787594,0.004014807344391727
PWY-841,532913.5720324565,0.006573555044199304
PWY-922,32180.130560179794,0.00039694590392976253
PWY0-1061,247394.65496563527,0.0030516437700300347
PWY0-1241,157473.50712823003,0.0019424552524766367
PWY0-1261,295751.16777314595,0.0036481273564273058
PWY0-1277,17689.02946773907,0.0002181963736468029
PWY0-1296,175809.13569356204,0.0021686275062335033
PWY0-1297,180387.72443484576,0.0022251049665481127
PWY0-1298,165451.44061509264,0.002040864052077744
PWY0-1319,615602.836692834,0.007593537385306298
PWY0-1338,2953.861775452388,3.6436251566717397e-05
PWY0-1415,144532.28336939157,0.00178282365143938
PWY0-1479,243394.28561033163,0.003002298717597002
PWY0-1533,44177.41047954753,0.0005449338405661889
PWY0-1586,318692.507100928,0.00393111162399564
PWY0-162,556239.6637420363,0.006861285280143877
PWY0-166,407279.21963380603,0.005023839716467768
PWY0-321,16214.189131081914,0.0002000040350703127
PWY0-41,16527.90427315547,0.00020387375027901774
PWY0-42,66811.88308171734,0.0008241328689927392
PWY0-781,291179.79274494865,0.0035917388781588205
PWY0-845,120518.46251544131,0.0014866101911536114
PWY0-862,299131.0039858745,0.003689818055540137
PWY1G-0,32974.111596764305,0.0004067397585470002
PWY490-3,24656.493850545303,0.00030414091145280467
PWY4FS-7,544232.2109913575,0.006713171860370806
PWY4FS-8,544232.2109913575,0.006713171860370806
PWY5F9-12,427.74482285430764,5.27628547192043e-06
PWYG-321,336612.88853569067,0.004152161752865853
PYRIDNUCSAL-PWY,280631.9129936775,0.003461629472462631
PYRIDNUCSYN-PWY,414233.6373490641,0.005109623322010507
PYRIDOXSYN-PWY,170028.55452352564,0.0020973233201461165
REDCITCYC,405538.6503589734,0.0050023695784626185
RHAMCAT-PWY,36964.906850975254,0.00045596671325493415
RIBOSYN2-PWY,458160.8287303285,0.005651470678947838
RUMP-PWY,58694.76152431639,0.0007240071672686664
SALVADEHYPOX-PWY,282254.85563917743,0.003481648671397806
SER-GLYSYN-PWY,559281.8273464344,0.006898810745728665
SO4ASSIM-PWY,292125.9362330722,0.003603409675498754
SUCSYN-PWY,26293.218338416696,0.0003243301111239218
SULFATE-CYS-PWY,358740.0927075133,0.004425103562253387
TCA,526825.3836221703,0.006498456484630183
TCA-GLYOX-BYPASS,254636.1326535558,0.0031409682959589553
TEICHOICACID-PWY,12657.06162077396,0.00015612642580045374
THISYN-PWY,331439.5858503699,0.004088348422249103
THREOCAT-PWY,3968.831784991687,4.8956032589505323e-05
THRESYN-PWY,555968.503080778,0.006857940479736928
TRNA-CHARGING-PWY,499071.01638507226,0.006156102920516274
TRPSYN-PWY,483763.1022104525,0.005967277899500271
TYRFUMCAT-PWY,99812.3094287359,0.0012311972232497172
UBISYN-PWY,242391.8835942687,0.0029899339643333998
UDPNAGSYN-PWY,473345.1369731644,0.005838771005456114
VALDEG-PWY,1214.7525240323625,1.4984123131546818e-05
VALSYN-PWY,658254.0877062363,0.008119645859465192
